timestamp,latitude,longitude
2025-12-25 10:00:00,37.3382,-121.8863
2025-12-25 12:30:00,37.3390,-121.8850
2025-12-25 15:00:00,37.3375,-121.8870
2025-12-25 17:30:00,37.3395,-121.8858
2025-12-26 09:15:00,37.3380,-121.8878
2025-12-26 11:45:00,37.3388,-121.8845
2025-12-26 14:00:00,37.3372,-121.8865
2025-12-26 16:30:00,37.3398,-121.8855
2025-12-27 10:30:00,37.3385,-121.8875
2025-12-27 13:00:00,37.3378,-121.8842
2025-12-27 15:15:00,37.3392,-121.8868
2025-12-27 17:45:00,37.3370,-121.8860
2025-12-28 09:00:00,37.3396,-121.8880
2025-12-28 11:30:00,37.3383,-121.8848
2025-12-28 14:45:00,37.3376,-121.8872
2025-12-28 17:00:00,37.3390,-121.8852
2025-12-29 10:15:00,37.3368,-121.8865
2025-12-29 12:45:00,37.3394,-121.8875
2025-12-29 15:00:00,37.3381,-121.8840
2025-12-29 17:30:00,37.3387,-121.8862
2025-12-30 09:30:00,37.3373,-121.8878
2025-12-30 12:00:00,37.3399,-121.8855
2025-12-30 14:15:00,37.3384,-121.8848
2025-12-30 16:45:00,37.3377,-121.8870
2025-12-31 10:00:00,37.3391,-121.8865
2025-12-31 12:30:00,37.3369,-121.8858
2025-12-31 15:00:00,37.3396,-121.8875
2025-12-31 17:15:00,37.3382,-121.8842
2026-01-01 11:00:00,37.3388,-121.8868
2026-01-01 13:30:00,37.3374,-121.8852
2026-01-01 16:00:00,37.3395,-121.8880
2026-01-01 18:30:00,37.3380,-121.8860
2026-01-02 09:45:00,37.3393,-121.8845
2026-01-02 12:15:00,37.3371,-121.8872
2026-01-02 14:30:00,37.3386,-121.8858
2026-01-02 17:00:00,37.3378,-121.8875
2026-01-03 10:30:00,37.3397,-121.8862
2026-01-03 13:00:00,37.3383,-121.8848
2026-01-03 15:15:00,37.3375,-121.8878
2026-01-03 17:45:00,37.3392,-121.8855
2026-01-04 09:00:00,37.3369,-121.8865
2026-01-04 11:30:00,37.3398,-121.8870
2026-01-04 14:00:00,37.3384,-121.8840
2026-01-04 16:30:00,37.3376,-121.8858
2026-01-05 10:15:00,37.3390,-121.8875
2026-01-05 12:45:00,37.3372,-121.8852
2026-01-05 15:00:00,37.3387,-121.8868
2026-01-05 17:30:00,37.3379,-121.8845
2026-01-06 09:30:00,37.3394,-121.8862
2026-01-06 12:00:00,37.3381,-121.8878
2026-01-06 14:15:00,37.3368,-121.8855
2026-01-06 16:45:00,37.3396,-121.8848
2026-01-07 10:00:00,37.3385,-121.8872
2026-01-07 12:30:00,37.3373,-121.8865
2026-01-07 15:00:00,37.3391,-121.8858
2026-01-07 17:15:00,37.3377,-121.8880
2026-01-08 11:00:00,37.3399,-121.8842
2026-01-08 13:30:00,37.3382,-121.8870
2026-01-08 16:00:00,37.3389,-121.8855
2026-01-08 18:15:00,37.3370,-121.8862
2026-01-09 09:45:00,37.3395,-121.8875
2026-01-09 12:15:00,37.3380,-121.8848
2026-01-09 14:30:00,37.3386,-121.8868
2026-01-09 17:00:00,37.3374,-121.8858
2026-01-10 10:30:00,37.3393,-121.8878
2026-01-10 13:00:00,37.3378,-121.8845
2026-01-10 15:15:00,37.3388,-121.8865
2026-01-10 17:45:00,37.3371,-121.8855
2026-01-11 09:00:00,37.3397,-121.8870
2026-01-11 11:30:00,37.3383,-121.8862
2026-01-11 14:00:00,37.3369,-121.8848
2026-01-11 16:30:00,37.3392,-121.8880
2026-01-12 10:15:00,37.3376,-121.8858
2026-01-12 12:45:00,37.3398,-121.8872
2026-01-12 15:00:00,37.3384,-121.8845
2026-01-12 17:30:00,37.3379,-121.8865
2026-01-13 09:30:00,37.3390,-121.8855
2026-01-13 12:00:00,37.3372,-121.8875
2026-01-13 14:15:00,37.3395,-121.8862
2026-01-13 16:45:00,37.3381,-121.8848
2026-01-14 10:00:00,37.3387,-121.8878
2026-01-14 12:30:00,37.3368,-121.8858
2026-01-14 15:00:00,37.3394,-121.8870
2026-01-14 17:15:00,37.3377,-121.8842
2026-01-15 11:00:00,37.3399,-121.8865
2026-01-15 13:30:00,37.3385,-121.8855
2026-01-15 16:00:00,37.3373,-121.8875
2026-01-15 18:15:00,37.3391,-121.8862
2026-01-16 09:45:00,37.3378,-121.8848
2026-01-16 12:15:00,37.3396,-121.8868
2026-01-16 14:30:00,37.3382,-121.8858
2026-01-16 17:00:00,37.3370,-121.8880
2026-01-17 10:30:00,37.3393,-121.8845
2026-01-17 13:00:00,37.3386,-121.8872
2026-01-17 15:15:00,37.3374,-121.8855
2026-01-17 17:45:00,37.3388,-121.8865
2026-01-18 09:00:00,37.3371,-121.8862
2026-01-18 11:30:00,37.3397,-121.8878
2026-01-18 14:00:00,37.3380,-121.8848
2026-01-18 16:30:00,37.3392,-121.8858
2026-01-19 10:15:00,37.3375,-121.8870
2026-01-19 12:45:00,37.3398,-121.8855
2026-01-19 15:00:00,37.3383,-121.8875
2026-01-19 17:30:00,37.3369,-121.8842
2026-01-20 09:30:00,37.3394,-121.8865
2026-01-20 12:00:00,37.3379,-121.8862
2026-01-20 14:15:00,37.3387,-121.8878
2026-01-20 16:45:00,37.3376,-121.8855
2026-01-21 10:00:00,37.3390,-121.8868
2026-01-21 12:30:00,37.3381,-121.8848
2026-01-21 14:45:00,37.3395,-121.8858
2026-01-21 17:00:00,37.3372,-121.8875
